kód okresu,kód KÚ,názov obce
707,823571,Kapušany
707,823775,Kendice
707,824143,Klenov
707,825131,Kojatice
707,825387,Kokošovce
707,829200,Krížovany
707,830119,Kvačany pri Bajerove
707,830453,Lačnov
707,830461,Lada
707,831042,Lažany
707,831301,Lemešany
707,831409,Lesíček
707,832006,Ličartovce
707,860468,Lipníky
707,832294,Lipovce
707,833584,Ľubotice
707,833614,Ľubovec
707,833924,Lúčina
707,835919,Malý Slivník
707,835943,Malý Šariš
707,836524,Medzany
707,837504,Miklušovce
707,837661,Mirkovce
707,846040,Močarmany
707,838594,Mošurov
707,839507,Nemcovce v Šariši
707,840955,Nižná Šebastová
707,950017,Nové
707,950025,Nový Horeš
707,843431,Okružná
707,843831,Ondrašovce
707,844845,Ovčie
707,846058,Petrovany
707,847313,Podhorany Nižné
707,847402,Podhradík
707,849502,Prešov
707,850268,Proč
707,850748,Pušovce
707,850861,Radatice
707,852741,Rokycany
707,853623,Ruská Nová Ves
707,833622,Ruské Pekľany
707,854719,Sedlice
707,854972,Seniakovce
707,857301,Solivar
707,854727,Suchá Dolina
707,859851,Svinia
707,860328,Šalgovík
707,860476,Šarišská Poruba
707,860484,Šarišská Trstená
707,860492,Šarišské Bohdanovce
707,860549,Šarišské Lužianky
707,860841,Šindliar
707,860948,Široké
707,861120,Štefanovce
707,863084,Teriakovce
707,863092,Terňa
707,865354,Trnkov
707,865583,Tuhrina
707,865613,Tulčík
707,867411,Varhaňovce
707,869171,Veľký Slivník
707,869198,Veľký Šariš
707,869724,Víťaz
707,871346,Vyšná Šebastová
707,871681,Záborské
707,871834,Záhradné
707,872512,Závadka pri Terni
707,873284,Zlatá Baňa
707,874035,Žatkovce
707,874159,Žehňa
707,874922,Žipov
707,875015,Župčany
708,,okres SABINOV
708,800562,Bajerovce
708,803324,Bodovce
708,806846,Brezovica nad Torysou
708,806862,Brezovička
708,809357,Červená Voda
708,809403,Červenica pri Sabinove
708,809993,Ďačov
708,810045,Daletice
708,812901,Drienica
708,813397,Dubovica
708,815675,Hanigovce
708,820059,Hubošovce
708,821853,Jakovany
708,821896,Jakubova Voľa
708,821926,Jakubovany pod Čergovom
708,822272,Jarovnice
708,823287,Kamenica
708,828394,Krásna Lúka
708,829137,Krivany
708,832219,Lipany
708,833975,Lúčka nad Torysou
708,834289,Ľutina
708,837636,Milpoš
708,838004,Močidľany nad Svinkou
708,841188,Nižný Slavkov
708,843504,Olejníkov
708,843750,Oľšov
708,844349,Orkucany
708,844608,Ostrovany
708,845876,Pečovská Nová Ves
708,848034,Poloma
708,851850,Ratvaj
708,851914,Ražňany
708,852007,Renčišov
708,852937,Rožkovany
708,854212,Sabinov
708,860514,Šarišské Dravce
708,860557,Šarišské Michaľany
708,860565,Šarišské Sokolovce
708,863190,Tichý Potok
708,864005,Torysa
708,866598,Uzovce
708,866661,Uzovské Pekľany
708,866679,Uzovský Šalgov
708,870919,Vysoká pri Toryse
708,854298,Zálesie
709,,okres SNINA
709,802395,Belá nad Cirochou
709,806820,Brezovec
709,809969,Čukalovce
709,810088,Dara
709,811033,Dlhé nad Cirochou
709,813427,Dúbrava pri Ubli
709,818704,Hostovice
709,818810,Hrabová Roztoka
709,821951,Jalová
709,823147,Kalná Roztoka
709,824151,Klenová
709,825697,Kolbasov
709,825778,Kolonica
709,830526,Ladomirov
709,836800,Michajlov
709,841871,Nová Sedlica
709,844446,Osadné
709,844616,Ostrožnica
709,845370,Parihuzovce
709,845817,Pčoliné
709,846546,Pichne
709,850241,Príslop
709,853577,Runina
709,853666,Ruská Volová
709,853674,Ruské
709,853763,Ruský Potok
709,856835,Smolník nad Cirochou
709,856941,Snina
709,857807,Stakčín
709,857793,Stakčínska Roztoka
709,858471,Starina nad Cirochou
709,859117,Strihovce
709,860999,Šmigovec
709,863530,Topoľa
709,866237,Ubľa
709,866440,Ulič
709,866458,Uličské Krivé
709,867896,Veľká Poľana
709,872849,Zboj
709,873225,Zemplínske Hámre
709,873691,Zvala
710,,okres STARÁ ĽUBOVňA
710,809896,Čirč
710,813923,Ďurková
710,814377,Forbasy
710,815462,Hajtovka
710,815578,Haligovce
710,816418,Hniezdne
710,819123,Hraničné
710,819620,Hromoš
710,820695,Chmeľnica
710,821870,Jakubany
710,822221,Jarabina
710,823511,Kamienka
710,825433,Kolačkov
710,828874,Kremná
710,830241,Kyjov
710,830437,Lacková
710,831085,Legnava
710,831425,Lesnica
710,832944,Litmanová
710,833088,Lomnička
710,833606,Ľubotín
710,835897,Malý Lipník
710,859541,Malý Sulín
710,836478,Matysová
710,837920,Mníšek nad Popradom
710,841048,Nižné Ružbachy
710,841846,Nová Ľubovňa
710,843075,Obručné
710,844365,Orlov
710,837938,Pilhov
710,846848,Plaveč
710,846872,Plavnica
710,847674,Podolínec
710,850691,Pusté Pole
710,853658,Ruská Voľa nad Popradom
710,858099,Stará Ľubovňa
710,858480,Starina
710,858765,Stráňany
710,860361,Šambron
710,860522,Šarišské Jastrabie
710,866318,Údol
710,867799,Veľká Lesná
710,869139,Veľký Lipník
710,859559,Veľký Sulín
710,869589,Vislanka
710,871451,Vyšné Ružbachy
711,,okres STROPKOV
711,800651,Baňa
711,859249,Bokša
711,806463,Breznica
711,806510,Breznička pri Chotči
711,807001,Brusnica
711,807320,Bukovce
711,807567,Bystrá pri Havaji
711,807923,Bžany
711,869775,Driečna
711,813842,Duplín
711,815292,Gribov
711,815942,Havaj
711,820873,Chotča
711,821934,Jakušovce
711,825701,Kolbovce
711,826545,Korunková
711,827916,Kožuchovce
711,829048,Krišľovce
711,853755,Kručov
711,829595,Krušinec
711,833061,Lomné
711,834955,Makovce
711,835188,Malá Poľana
711,837512,Miková
711,837644,Miňovce
711,838683,Mrázovce
711,840858,Nižná Olšava
711,843733,Oľšavka pri Gribove
711,848735,Potoky
711,848701,Potôčky
711,857327,Soľník
711,858676,Staškovce
711,859133,Stropkov
711,869791,Suchá
711,860433,Šandal
711,863211,Tisinec
711,863432,Tokajík
711,865796,Turany nad Ondavou
711,875333,Valkov
711,867381,Varechovce
711,868841,Veľkrop
711,869597,Vislava
711,869783,Vladiča
711,870099,Vojtovce
711,871141,Vyškovce
711,871249,Vyšná Olšava
711,865800,Vyšný Hrabovec
712,,okres SVIDNÍK
712,802425,Belejovce
712,802581,Beňadikovce
712,803341,Bodružal
712,808008,Cernina
712,808199,Cigla
712,811157,Dlhoňa
712,811351,Dobroslava
712,813311,Dubová pri Svidníku
712,813567,Dukovce
712,814237,Fijaš
712,815136,Giraltovce
712,815969,Havranec
712,818828,Hrabovčík
712,820393,Hunkovce
712,822906,Jurkova Voľa
712,823163,Kalnište
712,823546,Kapišová
712,823759,Kečkovce
712,824984,Kobylnice
712,826278,Korejovce
712,827924,Kračúnovce
712,827941,Krajná Bystrá
712,827959,Krajná Poľana
712,827967,Krajná Porúbka
712,828041,Krajné Čierno 0,2824,0,026
712,829641,Kružlová
712,829790,Kuková
712,829935,Kurimka
712,830542,Ladomirová
712,833967,Lúčka
712,834386,Lužany pri Topli
712,836427,Matovce
712,836516,Medvedie
712,836761,Mestisko
712,836770,Mičakovce
712,837687,Miroľa
712,837741,Mlynárovce
712,840815,Nižná Jedľová
712,840866,Nižná Pisaná
712,841137,Nižný Komárnik
712,841161,Nižný Mirošov
712,841170,Nižný Orlík
712,841862,Nová Polianka
712,843415,Okrúhle
712,850233,Príkra
712,850411,Pstriná
712,850993,Radoma
712,851515,Rakovčík
712,852864,Rovné pri Svidníku
712,852911,Roztoky
712,857114,Soboš
712,859125,Stročín
712,859737,Svidnička
712,859745,Svidník
712,843423,Šapinec
712,860441,Šarbov
712,860573,Šarišský Štiavnik
712,860743,Šemetkovce
712,861171,Štefurov
712,866695,Vagrinec
712,867284,Valkovce
712,867365,Vápeník
712,871214,Vyšná Jedľová
712,871257,Vyšná Pisaná
712,871524,Vyšný Komárnik
712,871575,Vyšný Mirošov
712,871583,Vyšný Orlík
712,874213,Železník
712,874281,Želmanovce
713,,okres VRANOV NAD TOPĽOU
